상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
iM에셋월드골드증권자투자신탁(주식-재간접형)(UH)(C-Pe),아이엠에셋자산운용,재간접,2017/10/25,판매,가능,"6,083","10,648",81.92,83.95,"2,286","3,097",22.88,26.12,5.12,2.65,-1.08,,0.96,0.96,0.84,,,,,,
삼성밀당다람쥐글로벌EMP증권자투자신탁[주식혼합-재간접형]_C-Pe,삼성자산운용,재간접,2020/12/04,판매,가능,"8,663","10,633",18.40,20.75,"6,164","7,327",24.59,30.23,8.36,,,,0.48,,,,,,,,
키움글로벌차세대IT&네트워크증권자투자신탁(H)[주식]ClassC-P,키움투자자산운용,주식형,2018/02/23,판매,가능,"4,136","10,555",60.24,38.36,"5,187","9,667",40.60,31.30,-6.82,3.09,,,1.96,1.91,,,,,,,
한화연금60증권전환형투자신탁(주식혼합) 종류C,한화자산운용,혼합주식형,2001/02/01,판매,가능,"5,366","10,484",28.53,19.57,"6,083","9,203",-9.49,-4.56,-9.94,-1.46,-3.01,-0.03,1.57,1.52,1.42,1.32,,,,,
미래에셋베트남증권자투자신탁 1(UH)(주식)종류C-Pe,미래에셋자산운용,주식형,2016/05/09,판매,가능,"4,115","10,412",25.57,22.96,"4,120","9,186",30.78,32.22,-2.91,3.89,9.05,,2.63,2.44,2.30,,,,,,
미래에셋소비성장연금증권전환형자투자신탁 1(주식)종류C,미래에셋자산운용,주식형,2012/11/19,판매,가능,"11,058","10,374",30.68,38.30,"12,922","8,023",-9.46,-18.00,-13.74,-2.75,-4.03,2.05,1.16,1.36,1.36,1.06,,,,,
NH-Amundi성장중소형주증권투자신탁[주식]ClassC-P1(연금저축),엔에이치아문디자산운용,주식형,2015/07/13,판매,가능,"4,346","10,276",60.26,39.64,"4,894","7,583",2.42,4.06,-6.04,6.22,0.41,,1.88,1.72,1.58,,,,,,
KCGI코리아연금증권전환형자 1[주식혼합]종류Ce,케이씨지아이자산운용,혼합주식형,2014/07/25,판매,가능,"6,889","10,225",25.17,29.28,"6,519","7,618",7.93,7.94,0.84,4.28,2.71,2.69,0.93,0.92,0.89,0.85,,,,,
신한마음편한TDF2035증권투자신탁[주식혼합-재간접형](종류C-pe),신한자산운용,재간접,2017/10/11,판매,가능,"8,142","10,211",13.24,12.00,"6,644","7,893",14.29,13.75,2.24,5.18,4.87,,0.73,0.72,0.73,,,,,,
KB미국대표성장주증권자투자신탁(주식)(H)C-Pe,케이비자산운용,주식형,2020/05/28,판매,가능,"7,461","10,119",19.50,18.99,"6,172","7,921",31.64,32.53,0.50,,,,1.39,,,,,,,,
KCGI프리덤TDF2045증권자투자신탁[주식혼합-재간접형]종류C-Pe,케이씨지아이자산운용,재간접,2020/10/23,판매,가능,"5,612","10,045",31.06,20.94,"5,059","8,632",27.20,19.51,2.01,,,,0.95,,,,,,,,
KB온국민TDF2025증권투자신탁(채권혼합-재간접형)C-P,케이비자산운용,재간접,2017/08/04,판매,가능,"7,784","10,020",9.27,7.84,"8,214","9,833",9.75,9.34,1.15,3.05,3.10,,0.63,0.66,0.66,,,,,,
한국투자미국배당귀족증권자투자신탁H(주식)(C-Pe),한국투자신탁운용,주식형,2020/06/15,판매,가능,"8,906","10,014",-5.24,-3.90,"10,502","11,353",2.73,4.24,-0.53,,,,0.87,,,,,,,,
한화연금증권전환형투자신탁(채권) 종류C,한화자산운용,채권형,2001/02/01,판매,가능,"7,159","9,999",3.55,3.38,"8,080","10,736",5.27,4.88,1.57,0.68,1.55,1.44,0.76,0.76,0.76,0.75,,,,,
한국투자TDF알아서2020증권자투자신탁(채권혼합-재간접형)C-P,한국투자신탁운용,재간접,2017/03/16,판매,가능,"7,174","9,978",8.47,6.64,"7,813","9,989",8.56,7.28,-0.48,2.69,2.41,,0.85,0.86,0.83,,,,,,
미래에셋연금글로벌그로스증권자투자신탁 1(주식)종류C-e,미래에셋자산운용,주식형,2014/12/19,판매,가능,"9,327","9,962",17.07,18.66,"8,343","9,294",29.17,35.38,-3.29,7.68,6.23,10.92,1.04,1.17,1.20,1.22,,,,,
교보악사공모주하이일드플러스증권투자신탁[채권혼합]ClassC-P(연금),교보악사자산운용,혼합채권형,2018/11/01,판매,가능,"7,559","9,944",6.08,4.89,"7,670","9,742",5.34,5.19,4.35,5.23,,,1.39,1.36,,,,,,,
미래에셋글로벌솔루션40증권자투자신탁 1(채권혼합)종류C-Pe,미래에셋자산운용,혼합채권형,2016/10/18,판매,가능,"6,450","9,861",24.21,9.46,"6,799","9,795",39.48,11.99,11.28,13.00,10.53,,0.88,0.86,0.83,,,,,,
미래에셋차이나과창판증권투자신탁(주식)종류C-Pe,미래에셋자산운용,주식형,2020/12/23,판매,가능,"8,542","9,819",51.06,102.40,"5,867","4,876",15.66,31.13,-13.12,-5.16,,,0.79,0.72,,,,,,,
미래에셋연금저축스마트롱숏증권자투자신탁 1(주식혼합)종류C,미래에셋자산운용,혼합주식형,2014/03/24,판매,가능,"9,170","9,776",9.76,10.56,"9,846","9,604",-1.42,-1.19,0.41,3.65,2.48,3.17,1.40,1.41,1.39,1.39,,,,,
KB온국민TDF2040증권투자신탁(주식혼합-재간접형)C-Pe,케이비자산운용,재간접,2017/07/26,판매,가능,"7,885","9,719",14.08,12.86,"5,066","6,074",15.17,15.17,2.41,5.36,4.36,,0.67,0.72,0.72,,,,,,
미래에셋글로벌클린인프라증권자투자신탁[주식]종류S-P,미래에셋자산운용,주식형,2015/04/16,판매,가능,"5,434","9,549",11.85,21.19,"6,769","9,513",5.07,13.24,-18.90,1.05,2.71,-2.66,0.90,0.91,0.80,0.70,,,,,
피델리티차이나컨슈머증권자투자신탁(주식-재간접형)종류PRS-e,피델리티자산운용,재간접,2013/12/02,판매,가능,"12,638","9,535",12.20,20.20,"13,557","7,880",-3.52,-3.36,-13.58,-11.38,-10.13,-4.33,0.33,0.41,0.43,0.44,,,,,
IBK공모주채움증권투자신탁 1[채권혼합]C-P,아이비케이자산운용,혼합채권형,2015/06/12,판매,가능,"6,566","9,525",5.48,4.08,"7,066","9,676",1.57,1.33,4.94,4.60,3.53,,1.05,1.01,0.97,,,,,,
KB스타골드특별자산투자신탁(금-파생형)C-Pe,케이비자산운용,파생상품,2017/03/14,판매,가능,"5,481","9,490",45.77,37.67,"3,608","5,162",24.08,20.35,9.52,6.70,5.45,,1.26,1.20,1.14,,,,,,
삼성미국그로스증권자투자신탁UH[주식-재간접형]_C-Pe,삼성자산운용,재간접,2020/11/04,판매,가능,"7,439","9,476",26.73,27.50,"5,682","6,892",38.80,44.66,6.47,,,,0.77,,,,,,,,
하나크레딧플러스증권자투자신탁[채권]ClassC-P,하나자산운용,채권형,2023/10/30,판매,가능,"8,814","9,455",4.05,3.95,"8,743","9,118",4.92,5.17,,,,,,,,,,,,,
마이다스아시아리더스성장주증권자투자신탁(UH)(주식)C-P1,마이다스에셋자산운용,주식형,2020/11/23,판매,가능,"6,831","9,376",34.12,29.15,499,426,0.00,34.94,-8.04,,,,0.98,,,,,,,,
신한신종개인용MMF(종C-p),신한자산운용,단기금융,2018/09/05,판매,가능,"8,274","9,329",2.89,2.77,"9,037","9,897",3.43,3.39,2.98,2.09,,,0.28,0.27,,,,,,,
신한삼성전자알파증권자투자신탁 1[채권혼합](종류C-pe),신한자산운용,혼합채권형,2020/02/12,판매,가능,"8,179","9,253",9.24,9.18,"9,881","9,922",-5.54,-4.99,-0.58,,,,0.56,,,,,,,,
KB온국민TDF2035증권투자신탁(주식혼합-재간접형)C-Pe,케이비자산운용,재간접,2017/07/26,판매,가능,"7,216","9,249",12.93,11.29,"6,604","7,908",13.41,13.23,1.40,4.41,3.22,,0.54,0.58,0.62,,,,,,
미래에셋N2글로벌자산배분70증권투자신탁 1(주식혼합-재간접형)종류C-P,미래에셋자산운용,재간접,2016/03/14,판매,가능,"5,715","9,231",14.79,12.64,"5,958","8,997",13.45,12.68,-0.93,3.06,1.83,,1.56,1.55,1.49,,,,,,
유리글로벌거래소연금저축증권자투자신탁[주식]_C/C,유리자산운용,주식형,2016/10/12,판매,가능,"5,315","9,140",20.95,15.31,"6,044","8,978",20.22,16.31,4.15,6.17,7.72,,2.04,1.98,1.91,,,,,,
DB바이오헬스케어증권자투자신탁 1[주식]ClassC-PE,디비자산운용,주식형,2017/09/27,판매,가능,"6,560","9,127",21.83,23.91,"5,712","6,370",14.85,18.80,-0.52,0.27,-3.64,,1.05,1.10,1.08,,,,,,
유경플레인바닐라글로벌자산배분증권자투자신탁(주식)ClassC-Pe,유경피에스지자산운용,주식형,2019/12/09,판매,가능,"3,869","9,093",56.55,36.03,"3,934","7,582",34.68,26.64,4.77,9.81,,,1.65,1.57,,,,,,,
KB스타코스닥150인덱스증권자투자신탁(주식-파생형)C-Pe클래스,케이비자산운용,파생상품,2017/11/21,판매,가능,"7,420","9,059",11.06,9.90,"7,510","7,134",-20.65,-18.50,-15.63,-2.79,-6.82,,0.83,0.82,0.77,,,,,,
한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(C-Pe),한국투자신탁운용,재간접,2023/01/04,판매,가능,"7,617","8,964",14.01,13.36,"5,622","6,443",18.74,19.41,,,,,,,,,,,,,
한화내일받는단기국공채증권자투자신탁(채권)종류C-P(연금저축),한화자산운용,채권형,2015/10/30,판매,가능,"7,343","8,955",3.68,3.12,"8,456","9,860",4.04,3.75,3.57,2.49,2.27,,0.23,0.22,0.22,,,,,,
미래에셋베트남증권자투자신탁 1(H-USD)(주식-파생형)종류C-P,미래에셋자산운용,주식형,2016/05/17,판매,가능,"4,738","8,954",0.79,11.17,"5,450","8,837",-1.13,11.35,-22.11,-11.23,-5.02,,2.82,2.73,2.65,,,,,,
신한마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-pe),신한자산운용,재간접,2017/10/11,판매,가능,"7,560","8,936",8.18,7.36,"7,165","8,076",9.26,8.97,0.67,2.45,3.14,,0.55,0.55,0.53,,,,,,
삼성한국형TDF2050증권투자신탁H[주식혼합-재간접형]C-Pe,삼성자산운용,재간접,2019/02/11,판매,가능,"6,755","8,921",13.95,12.39,"5,980","7,085",10.95,10.05,-1.12,4.10,,,1.20,1.11,,,,,,,
삼성한국형TDF2020증권투자신탁H[채권혼합-재간접형]C-Pe,삼성자산운용,재간접,2017/07/27,판매,가능,"7,168","8,854",9.30,8.21,"7,718","8,644",6.32,5.98,-1.26,1.44,1.87,,0.82,0.76,0.69,,,,,,
한국투자TDF알아서2050증권자투자신탁UH(주식혼합-재간접형)(C-Pe),한국투자신탁운용,재간접,2019/10/15,판매,가능,"6,935","8,824",19.04,17.25,"5,522","6,814",24.73,24.81,7.50,9.11,,,0.82,0.79,,,,,,,
DB차이나본토RQFII증권자투자신탁(H)[주식]ClassC-P,디비자산운용,주식형,2015/04/02,판매,가능,"4,766","8,808",45.58,35.31,"5,430","7,697",8.67,8.52,-27.17,-12.25,-9.10,,2.23,2.37,2.17,,,,,,
KCGI글로벌성장기반증권자투자신탁[주식]종류C-Pe,케이씨지아이자산운용,주식형,2018/11/07,판매,가능,"7,060","8,767",12.40,13.12,"7,079","8,661",15.21,15.91,-1.91,4.65,,,1.44,1.42,,,,,,,
베어링고배당증권자투자신탁(주식)ClassC-P,베어링자산운용,주식형,2016/11/28,판매,가능,"4,466","8,693",35.13,24.21,"4,799","6,766",-7.18,-3.10,-3.79,4.18,1.47,,2.28,2.15,1.98,,,,,,
다올블록딜공모주하이일드증권투자신탁[채권혼합]종류C-Pe,다올자산운용,혼합채권형,2018/04/02,판매,가능,"6,816","8,680",5.98,5.09,"8,592","10,029",5.02,5.31,3.82,4.91,,,0.88,0.85,,,,,,,
신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-pe),신한자산운용,주식형,2021/09/23,판매,가능,"7,203","8,597",46.08,71.35,"1,065",953,11.67,18.63,-7.43,,,,1.02,,,,,,,,
흥국멀티플레이30공모주증권자투자신탁[채권혼합]C-p,흥국자산운용,혼합채권형,2014/11/26,판매,가능,"6,031","8,518",4.04,3.00,"7,257","9,552",3.31,2.61,2.57,2.63,2.54,2.81,1.45,1.42,1.38,1.33,,,,,
IBK플레인바닐라EMP증권투자신탁[혼합-재간접형]종류S-P,아이비케이자산운용,재간접,2019/01/14,판매,가능,"4,891","8,442",11.79,8.00,"6,505","9,326",12.19,8.69,-3.09,2.14,,,1.06,1.04,,,,,,,
VIP한국형가치투자증권자투자신탁[주식]S-P클래스,브이아이피자산운용,주식형,2023/04/03,판매,가능,"5,035","8,404",55.26,36.59,"3,643","4,383",7.51,5.16,,,,,,,,,,,,,
한국밸류10년투자증권투자신탁 1(채권혼합)종류C-Pe,한국투자밸류자산운용,혼합채권형,2016/08/31,판매,가능,"7,167","8,361",9.63,9.18,"5,270","5,870",4.01,4.59,2.81,4.20,3.29,,0.86,0.84,0.83,,,,,,
키움글로벌차세대IT&네트워크증권자투자신탁(UH)[주식]C-Pe,키움투자자산운용,주식형,2018/02/13,판매,가능,"3,378","8,348",79.17,49.48,"2,969","6,568",73.59,48.93,0.91,10.07,,,1.96,1.81,,,,,,,
하나PIMCO글로벌인컴혼합자산자투자신탁(H)[재간접형]ClassC-PE,하나자산운용,혼합자산,2018/01/15,판매,가능,"7,906","8,224",4.59,4.64,"3,352","3,401",3.14,3.17,-0.83,-0.09,0.40,,0.69,0.70,0.68,,,,,,
하나글로벌4차산업1등주플러스증권자투자신탁[주식]ClassC-P,하나자산운용,주식형,2017/12/14,판매,가능,"3,152","8,161",41.52,21.92,"3,173","7,172",49.62,32.49,-15.51,2.55,2.24,,2.57,2.49,2.21,,,,,,
미래에셋코어밸류연금저축증권전환형자투자신탁 1(주식)종류C-e,미래에셋자산운용,주식형,2013/12/31,판매,가능,"6,806","8,154",30.96,35.96,"7,870","6,354",-5.90,-8.32,-9.91,5.12,1.12,6.39,0.94,1.03,1.01,1.02,,,,,
KB미국대표성장주증권자투자신탁(주식)(H)C-P,케이비자산운용,주식형,2020/05/29,판매,가능,"4,744","8,149",24.03,18.50,"4,858","7,541",36.38,31.99,-0.04,,,,1.98,,,,,,,,
삼성클래식인디아연금증권자투자신탁UH[주식]_Ce,삼성자산운용,주식형,2015/10/15,판매,가능,"4,402","8,103",-17.69,-8.33,"5,930","10,884",43.45,30.89,21.10,22.03,15.00,,1.02,1.90,1.74,,,,,,
다올VIP스타셀렉션증권자투자신탁[주식]종류C-Pe,다올자산운용,주식형,2020/07/31,판매,가능,"6,128","8,093",42.63,61.85,"5,056","4,393",-19.48,-15.77,-14.68,,,,1.04,,,,,,,,
신한개인용MMF 2(종류C-p),신한자산운용,단기금융,2013/10/16,판매,가능,"7,361","8,092",2.82,2.72,"6,647","7,459",3.51,3.33,3.98,2.45,2.27,1.92,0.44,0.44,0.43,0.43,,,,,
한국밸류10년투자연금증권전환형투자신탁 1(주식)C-E,한국투자밸류자산운용,주식형,2016/08/31,판매,가능,"5,556","8,011",44.71,46.54,"4,392","4,368",-7.79,-6.09,-9.36,0.66,-2.16,,1.06,1.07,1.03,,,,,,
하나파워e단기채증권자투자신탁[채권]ClassC-P,하나자산운용,채권형,2017/01/31,판매,가능,"6,559","7,939",4.11,3.52,"6,975","8,149",4.90,4.49,1.61,0.96,0.69,,0.07,0.04,0.03,,,,,,
NH-Amundi모아모아30증권투자신탁[채권혼합]ClassC-P1(연금저축),엔에이치아문디자산운용,혼합채권형,2015/01/02,판매,가능,"4,747","7,854",18.58,13.16,"5,074","7,152",0.75,1.19,-0.68,2.80,2.11,2.66,0.90,0.87,0.83,0.78,,,,,
교보악사파워인덱스증권자투자신탁 1(주식)ClassC-P2e,교보악사자산운용,주식형,2018/02/19,판매,가능,"5,173","7,846",41.65,40.86,"5,209","5,166",-9.46,-8.98,-6.95,2.96,,,0.47,0.51,,,,,,,
삼성한국형TDF2025증권투자신탁H[채권혼합-재간접형]_C-Pe,삼성자산운용,재간접,2017/07/19,판매,가능,"6,280","7,744",9.31,8.24,"6,465","7,273",7.03,6.60,-1.27,1.76,2.04,,0.83,0.76,0.69,,,,,,
미래에셋ETF로자산배분TDF2040증권자투자신탁 1(주식혼합-재간접형)종류C-Pe,미래에셋자산운용,재간접,2017/04/19,판매,가능,"4,821","7,690",19.53,11.28,"4,698","6,788",19.27,13.02,5.49,11.15,8.98,,0.81,0.82,0.83,,,,,,
슈로더이머징위너스증권자투자신탁(주식혼합-재간접형)종류C-P,슈로더투자신탁운용,재간접,2017/01/19,판매,가능,"5,498","7,679",19.49,17.01,"6,107","6,670",3.42,3.97,-9.02,-4.55,-3.64,,1.92,2.01,1.94,,,,,,
미래에셋아시아그레이트컨슈머증권자투자신탁 1(주식-재간접형)종류C-Pe,미래에셋자산운용,재간접,2016/01/25,판매,가능,"4,335","7,669",-5.42,9.99,"5,467","9,259",13.67,20.44,-15.50,-5.64,-1.05,,1.28,1.40,1.32,,,,,,
우리중소형고배당증권자투자신탁 1(주식)ClassC-P1,우리자산운용,주식형,2013/04/12,판매,가능,"3,211","7,653",31.26,21.15,"3,721","6,112",-22.10,-8.67,-52.04,-25.42,-21.11,-14.03,2.32,2.20,1.95,1.76,,,,,
하나FirstClass연금증권투자신탁 1[주식혼합],하나자산운용,혼합주식형,2007/01/25,판매,가능,"3,669","7,648",33.55,20.52,"3,989","6,319",-11.29,-5.78,-10.83,-2.52,-4.00,-1.92,2.09,2.02,1.91,1.80,,,,,
iM에셋글로벌자산배분증권투자신탁(주식혼합-재간접형)(H)(C-p),아이엠에셋자산운용,재간접,2015/02/10,판매,가능,"4,312","7,646",13.98,9.01,"4,663","7,203",9.80,7.28,-3.62,2.55,2.15,,1.66,1.62,1.52,,,,,,
KCGI글로벌리츠부동산자투자신탁[리츠-재간접형]종류C-Pe,케이씨지아이자산운용,부동산,2020/02/03,판매,가능,"6,007","7,629",-0.25,1.66,"6,211","8,088",20.95,20.01,-0.13,,,,1.10,,,,,,,,
마이다스미소중소형주증권자투자신탁(주식)C-P,마이다스에셋자산운용,주식형,2014/06/17,판매,가능,"3,161","7,599",60.94,40.33,"3,722","5,631",-43.51,-21.15,-48.97,-23.04,-18.80,-13.44,2.57,2.50,2.20,1.96,,,,,
KB연금코차이나증권전환형자투자신탁(주식) C,케이비자산운용,주식형,2010/07/09,판매,가능,"3,643","7,507",52.93,39.33,"4,623","5,779",-7.28,-4.06,-19.19,-7.97,-7.90,-3.91,2.09,2.17,2.06,1.95,,,,,
트러스톤제갈공명연금저축증권자투자신탁[주식]C클래스,트러스톤자산운용,주식형,2013/05/10,판매,가능,"2,605","7,453",69.15,37.44,"2,975","5,393",-10.47,-3.39,-17.59,-5.44,-5.83,-0.67,2.57,2.48,2.29,2.12,,,,,
미래에셋인도채권증권자투자신탁 1(채권)종류C-Pe,미래에셋자산운용,채권형,2017/03/02,판매,가능,"7,311","7,429",7.48,6.57,"7,030","7,736",17.97,17.11,8.59,5.66,5.52,,1.12,1.11,1.10,,,,,,
슈로더글로벌지속가능성장주증권투자신탁(주식-재간접형)종류C-Pe,슈로더투자신탁운용,재간접,2020/07/27,판매,가능,"5,698","7,423",2.07,2.09,"6,811","7,979",7.02,6.95,-1.52,,,,0.64,,,,,,,,
우리프랭클린미국바이오헬스케어증권자투자신탁(주식-재간접형)ClassC-P,우리자산운용,재간접,2014/02/27,판매,가능,"6,880","7,361",5.50,6.55,"7,423","6,730",-1.04,-0.03,-2.08,-1.81,-1.44,-3.60,0.82,0.87,0.85,0.82,,,,,
우리파워연금액티브60증권전환형투자신탁 1(주식혼합)ClassC,우리자산운용,혼합주식형,2001/02/03,판매,가능,"3,725","7,338",31.46,20.06,"4,001","6,106",-5.81,-2.99,-6.64,-0.27,-1.52,0.11,2.04,1.98,1.86,1.76,,,,,
신한마음편한TDF2040증권투자신탁[주식혼합-재간접형](종류C-pe),신한자산운용,재간접,2017/10/11,판매,가능,"5,635","7,271",15.13,13.54,"4,827","5,785",15.69,15.09,2.85,5.81,5.32,,0.90,0.90,0.86,,,,,,
브이아이켄드리엄글로벌4차산업증권자투자신탁H[주식-재간접형]C-P2,브이아이자산운용,재간접,2019/01/25,판매,가능,"2,799","7,157",15.40,12.61,"3,613","7,879",31.91,20.90,-3.28,7.88,,,1.56,1.46,,,,,,,
피델리티글로벌금융주증권자투자신탁(주식-재간접형)PRS-e,피델리티자산운용,재간접,2016/11/24,판매,가능,"5,110","7,011",21.02,18.76,"4,602","5,675",23.96,23.91,5.64,6.09,4.03,,0.47,0.46,0.46,,,,,,
삼성글로벌선진국증권자투자신탁H[주식]_C-P,삼성자산운용,주식형,2016/03/18,판매,가능,"3,230","7,005",21.53,13.18,"3,582","6,597",21.30,16.10,3.61,8.06,6.42,,1.57,1.46,1.35,,,,,,
하나글로벌인프라증권자투자신탁[주식]ClassC-P,하나자산운용,주식형,2015/02/24,판매,가능,"4,121","7,003",11.65,8.05,"4,185","6,560",15.92,13.16,1.34,1.88,3.59,,2.21,2.11,2.03,,,,,,
삼성누버거버먼이머징국공채플러스증권자투자신탁UH[채권-재간접형]C-Pe,삼성자산운용,재간접,2017/08/03,판매,가능,"5,837","7,002",18.77,19.13,"5,251","6,091",23.32,26.99,6.04,3.02,3.48,,0.46,0.47,0.47,,,,,,
KB스타개인용MMF P-101(국공채)C-Pe 클래스,케이비자산운용,단기금융,2018/07/06,판매,가능,"6,411","6,991",2.74,2.68,"7,970","8,404",2.97,3.11,2.69,1.61,,,0.26,0.25,,,,,,,
마이다스아시아리더스성장주증권자투자신탁(H)(주식)C-Pe1,마이다스에셋자산운용,주식형,2020/08/05,판매,가능,"5,421","6,989",25.03,24.00,"3,700","4,424",27.95,31.18,0.63,,,,1.19,,,,,,,,
하나IT코리아증권자투자신탁 1[주식]ClassC-P,하나자산운용,주식형,2017/05/22,판매,가능,"4,305","6,972",35.60,33.59,"5,156","5,300",-37.68,-24.45,-28.76,-9.78,-9.13,,1.85,1.83,1.68,,,,,,
한화코리아밸류채권증권자투자신탁(채권)종류C-P(연금저축),한화자산운용,채권형,2015/06/29,판매,가능,"5,651","6,966",4.86,4.14,"6,261","7,361",5.77,5.45,3.53,2.46,2.54,,0.39,0.38,0.37,,,,,,
NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassC-P1e(연금저축),엔에이치아문디자산운용,주식형,2020/09/03,판매,가능,"4,453","6,948",42.67,41.60,"5,480","5,285",-8.13,-6.99,-8.15,,,,0.76,,,,,,,,
피델리티연금미국증권전환형자투자신탁(주식-재간접형)종류C-e,피델리티자산운용,재간접,2013/12/02,판매,가능,"3,175","6,928",10.41,3.57,"4,887","8,306",18.46,11.10,-0.33,7.81,7.92,9.09,0.97,0.94,0.89,0.83,,,,,
신한미국나스닥100인덱스증권자투자신탁(H)[주식-파생형](종류C-pe),신한자산운용,파생상품,2023/09/04,판매,가능,"5,608","6,853",19.39,20.61,"3,132","3,564",20.84,22.85,,,,,,,,,,,,,
NH-Amundi하나로단기채증권투자신탁[채권]ClassC-P1e(연금저축),엔에이치아문디자산운용,채권형,2018/09/14,판매,가능,"6,022","6,825",3.23,3.67,"3,968","4,425",4.84,4.70,4.12,3.01,,,0.21,0.21,,,,,,,
신한만기투자형증권투자신탁6[채권](종류C-pe),신한자산운용,채권형,2024/04/30,판매,가능,"6,429","6,791",3.53,3.50,"6,437","6,627",0.00,,,,,,,,,,,,,,
삼성클래식60연금증권전환형자투자신탁 1[주식혼합]_C,삼성자산운용,혼합주식형,2012/03/27,판매,가능,"4,121","6,774",27.03,22.21,"4,441","5,727",-2.91,0.25,-5.12,1.47,0.08,1.44,1.38,1.37,1.30,1.25,,,,,
교보악사Tomorrow장기우량증권투자신탁K- 1(채권)ClassC-P2,교보악사자산운용,채권형,2013/04/26,판매,가능,"5,495","6,764",4.07,3.52,"6,099","7,195",5.81,5.34,2.84,1.94,2.50,2.17,0.40,0.40,0.40,0.39,,,,,
KB연금단기채증권전환형자투자신탁(채권)C,케이비자산운용,채권형,2018/03/14,판매,가능,"5,610","6,754",4.13,3.52,"5,905","6,880",4.71,4.29,3.75,2.39,,,0.27,0.27,,,,,,,
삼성클래식중소형연금증권자투자신탁 1[주식]_C,삼성자산운용,주식형,2013/04/25,판매,가능,"2,926","6,746",56.96,36.21,"3,083","4,711",-13.25,-6.10,-18.60,-1.78,-3.82,-1.07,2.19,2.07,1.87,1.73,,,,,
신영밸류고배당40증권자투자신탁(채권혼합)C-Pe형,신영자산운용,혼합채권형,2016/08/31,판매,가능,"5,728","6,743",11.90,11.57,"5,419","5,664",1.35,1.71,1.24,2.60,1.35,,0.80,0.79,0.78,,,,,,
브이신우량개인MMF3종류C-p,브이자산운용,단기금융,2013/11/21,판매,가능,"6,361","6,742",2.87,2.76,"4,781","5,050",3.36,3.38,3.03,2.00,1.75,1.53,0.35,0.37,0.43,0.47,,,,,
삼성클래식차이나연금증권전환형자투자신탁 1[주식]_C,삼성자산운용,주식형,2012/07/30,판매,가능,"3,252","6,692",48.11,34.94,"3,761","5,346",11.94,10.87,-27.95,-14.31,-11.54,-6.10,2.42,2.74,2.60,2.37,,,,,
미래에셋글로벌코어테크EMP증권자투자신탁(주식-재간접형)종류C-Pe,미래에셋자산운용,재간접,2018/04/11,판매,가능,"3,636","6,680",-1.95,13.99,"4,634","7,690",1.77,16.27,-31.74,-3.14,-3.93,,1.36,1.34,1.22,,,,,,
KCGI아시아테크놀로지증권자투자신탁[주식]종류C-Pe,케이씨지아이자산운용,주식형,2022/03/23,판매,가능,"3,915","6,565",40.06,32.82,"3,691","5,107",27.55,27.39,,,,,,,,,,,,,
신한마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-p),신한자산운용,재간접,2017/10/11,판매,가능,"5,290","6,543",8.11,7.10,"5,305","6,224",9.16,8.70,0.54,2.25,2.53,,0.81,0.81,0.78,,,,,,
KB온국민TDF2030증권투자신탁(주식혼합-재간접형)C-Pe,케이비자산운용,재간접,2017/07/26,판매,가능,"5,277","6,523",11.86,10.63,"4,595","5,352",12.40,12.48,1.86,4.11,3.80,,0.39,0.43,0.48,,,,,,
한화개인MMF 1 C-Pe(연금저축),한화자산운용,단기금융,2017/08/10,판매,가능,"5,918","6,521",3.09,2.86,"5,282","5,761",3.66,3.47,3.05,2.12,1.95,,0.22,0.22,0.21,,,,,,
한국투자e단기채ESG증권투자신탁(채권)(C-Pe),한국투자신탁운용,채권형,2017/11/27,판매,가능,"5,859","6,492",3.97,4.10,"4,443","4,916",4.88,4.65,3.61,2.71,2.53,,0.18,0.18,0.17,,,,,,
NH-Amundi스마트인베스터5.0분할매수증권투자신탁[주식혼합-재간접형]ClassC-P1(연금저축),엔에이치아문디자산운용,재간접,2014/09/22,판매,가능,"3,467","6,471",37.36,26.58,"3,937","5,097",-14.12,-8.88,-10.26,-3.14,-3.31,-0.30,0.94,0.93,0.88,0.84,,,,,
