상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
삼성클래식인덱스연금증권전환형투자신탁 1[주식]_C,삼성자산운용,주식형,2006/01/10,판매,가능,"62,630","167,740",65.58,39.40,"73,097","120,466",-23.29,-10.21,-21.48,-7.63,-7.22,-1.81,2.26,2.22,2.02,1.85,,,,,
AB미국그로스증권투자신탁(주식-재간접형)종류형C-P,얼라이언스번스틴자산운용,재간접,2013/04/10,판매,가능,"59,108","152,647",24.45,13.51,"68,656","151,640",36.63,22.91,-10.94,5.40,7.58,10.99,1.63,1.61,1.52,1.39,,,,,
신한해피라이프연금증권전환형자투자신탁 1[주식](종류C1),신한자산운용,주식형,2008/06/25,판매,가능,"59,175","146,026",59.15,36.99,"68,741","106,058",-26.33,-13.42,-20.82,-4.57,-8.44,-4.31,2.47,2.32,2.09,1.95,,,,,
하나인Best연금증권자투자신탁 1[주식혼합],하나자산운용,혼합주식형,2001/02/05,판매,가능,"76,970","144,886",32.73,22.50,"86,451","121,451",-8.09,-4.75,-10.34,-1.21,-2.67,-0.39,1.93,1.92,1.83,1.75,,,,,
한국투자골드플랜네비게이터연금증권전환형투자신탁 1(주식)(C),한국투자신탁운용,주식형,2008/03/12,판매,가능,"55,250","144,189",56.09,30.93,"64,791","110,444",-18.29,-7.81,-25.09,-11.54,-12.66,-6.22,2.60,2.56,2.37,2.22,,,,,
미래에셋배당커버드콜액티브연금저축증권전환형자투자신탁 1(주식혼합)종류C,미래에셋자산운용,혼합주식형,2013/08/19,판매,가능,"122,923","132,923",23.58,25.89,"125,550","110,999",-4.81,-4.74,-4.60,0.96,-0.27,2.99,1.30,1.35,1.34,1.35,,,,,
KB스타미국나스닥100인덱스증권자투자신탁(주식-파생형)(H)C-Pe,케이비자산운용,파생상품,2018/01/19,판매,가능,"88,316","128,000",24.90,21.42,"63,509","88,325",25.97,23.46,0.54,10.53,,,1.02,1.01,,,,,,,
한국투자글로벌전기차&자율주행증권투자신탁(주식)(C-Pe),한국투자신탁운용,주식형,2017/11/06,판매,가능,"121,900","123,651",18.37,22.06,"148,162","135,834",2.09,3.68,-12.00,2.74,-3.16,,1.14,1.17,1.11,,,,,,
KB연금미국S&P500인덱스증권자투자신탁(주식-파생형)(H)C-ECLASS,케이비자산운용,파생상품,2014/08/18,판매,가능,"83,213","120,094",18.01,15.00,"73,246","97,869",24.26,22.30,3.88,9.60,8.55,8.87,0.93,0.94,0.92,0.93,,,,,
미래에셋글로벌다이나믹연금증권전환형자투자신탁 1(채권)종류C,미래에셋자산운용,채권형,2010/07/26,판매,가능,"109,300","109,265",3.31,3.11,"111,380","107,346",3.21,2.55,-0.04,0.35,1.24,2.00,0.70,0.73,0.74,0.74,,,,,
미래에셋글로벌솔루션증권자투자신탁(주식-재간접형)종류C-P,미래에셋자산운용,재간접,2016/07/19,판매,가능,"39,452","106,071",34.40,19.44,"41,193","99,950",44.50,26.40,7.45,14.77,11.92,,2.28,2.13,1.94,,,,,,
신영마라톤증권자투자신탁(주식)C-P형,신영자산운용,주식형,2013/04/08,판매,가능,"55,749","104,555",36.13,26.09,"62,161","81,795",-12.37,-7.47,-9.39,-0.87,-3.29,0.94,1.92,1.85,1.75,1.68,,,,,
신영연금배당증권전환형자투자신탁(주식),신영자산운용,주식형,2007/12/18,판매,가능,"48,648","102,815",42.33,27.37,"57,974","84,245",-13.51,-7.48,-12.32,-3.31,-5.00,-0.84,1.93,1.88,1.80,1.77,,,,,
미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-Pe,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"51,039","101,696",34.47,15.37,"47,303","85,335",31.12,17.71,7.65,24.78,22.91,,1.23,1.20,1.14,,,,,,
신한해피라이프연금증권전환형자투자신탁 1[주식혼합](종류C1),신한자산운용,혼합주식형,2008/06/25,판매,가능,"56,134","98,007",25.74,18.56,"61,417","84,451",-8.83,-4.90,-6.81,2.27,0.05,1.15,1.89,1.85,1.74,1.67,,,,,
KCGI코리아증권투자신탁 1[주식]종류C-Pe,케이씨지아이자산운용,주식형,2015/09/03,판매,가능,"57,277","97,833",59.90,54.10,"40,622","51,325",11.26,11.75,-3.00,6.22,2.72,,1.15,1.16,1.11,,,,,,
