소비자물가 상승률,,,,
주석,,,,
출처,국가데이터처,,,
범례명,전월대비,전년동월대비,,
단위,(%),(%),,
주기,월,월,,
기간,1965-02 ~ 2025-11,1966-01 ~ 2025-11,,
2022-05,0.6,5.3,,
2022-06,0.7,6,,
2022-07,0.5,6.3,,
2022-08,-0.1,5.7,,
2022-09,0.2,5.5,,
2022-10,0.3,5.6,,
2022-11,-0.1,5,,
2022-12,0.2,5,,
2023-01,0.7,5,,
2023-02,0.2,4.7,,
2023-03,0.2,4.2,,
2023-04,0.2,3.7,,
2023-05,0.3,3.4,,
2023-06,0,2.7,,
2023-07,0.1,2.4,,
2023-08,0.9,3.4,,
2023-09,0.5,3.7,,
2023-10,0.4,3.8,,
2023-11,-0.5,3.3,,
2023-12,0,3.2,,
2024-01,0.4,2.8,,
2024-02,0.5,3.1,,
2024-03,0.1,3.1,,
2024-04,0.1,2.9,,
2024-05,0.1,2.7,,
2024-06,-0.2,2.4,,
2024-07,0.3,2.6,,
2024-08,0.4,2,,
2024-09,0.1,1.6,,
2024-10,0,1.3,,
2024-11,-0.3,1.5,,
2024-12,0.4,1.9,,
2025-01,0.7,2.2,,
2025-02,0.3,2,,
2025-03,0.2,2.1,,
2025-04,0.1,2.1,,
2025-05,-0.1,1.9,,
2025-06,0,2.2,,
2025-07,0.2,2.1,,
2025-08,-0.1,1.7,,
2025-09,0.5,2.1,,
2025-10,0.3,2.4,,
2025-11,-0.2,2.4,,
